"subject","session","window_iter","window_length","window_start","x","y","letter_loc","face_dir","choose_onset","choose_rt_time","choose_reactiontime","num_moves","num_turns","num_north","num_south","num_west","num_east","mean_reactiontime","sd_reactiontime"
"2","2","12","36000","411183","-5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -2.5 -2.5 -2.5 -2.5 -2.5 -2.5 -1 -1 -1 -1","0 3.75 6 6 3.75 3.75 3.75 3.75 3.75 3.75 6 6 6 6 3 6","L G A A G G H H H H B B C C I C","N N W S S E E S W N N E E S E N","411849 413800 416935 420388 422222 424124 426058 428276 431429 433647 435648 437483 439484 440635 442753 446922","412098 414278 416968 420528 422349 424331 426471 428595 431889 433883 435722 437800 439780 440921 442992 447221","249 478 33 140 127 207 413 319 460 236 74 317 296 286 239 299","8","8","5","4","2","5","260.8125","127.359448674477"
"2","2","13","36000","445743","-1 -1 2 5.5 5.5 5.5 8.5 8.5 8.5 5.5 5.5 5.5 5.5 3.5 5.5","6 6 6 6 6 6 6 6 6 6 6 1.25 1.25 -0.5 1.25","C C D E E E F F F E E M M O M","N E E E S E E S W W S S W E E","446922 451142 453160 454878 456396 458330 460415 462550 464434 466486 468504 470455 473991 475809 481696","447221 451400 453249 455129 456624 458659 460792 462708 464723 466752 468668 470569 474114 476063 482030","299 258 89 251 228 329 377 158 289 266 164 114 123 254 334","8","7","1","4","3","7","235.533333333333","87.6012611346489"
"2","2","14","27628","480303","5.5 5.5 5.5 5.5 2 2 2 2 2 2 3.5","1.25 1.25 -2 -2 -2 -2 -2 -2 -5.75 -5.75 -7.75","M M S S R R R R U U W","E S S W W N W S S E W","481696 487817 489551 492270 494138 496623 498474 500442 502394 505996 507931","482030 487863 489662 492445 494294 496714 498756 500709 503292 506172 508187","334 46 111 175 156 91 282 267 898 176 256","5","6","1","4","4","2","253.818181818182","231.150088981951"
"3","1","1","36000","29478","2 2 5.5 5.5 5.5 5.5 3.5 5.5 5.5 5.5","-2 -2 -2 -2 1.25 1.25 -0.5 1.25 1.25 6","R R S S M M O M M E","N E E N N W E E N N","29478 34781 37533 40952 43571 46322 48290 54878 62350 64435","32023 35845 38722 41851 43960 46602 49242 56552 62747 64645","2545 1064 1189 899 389 280 952 1674 397 210","6","4","5","0","1","4","959.9","727.016192697552"
"3","1","2","36000","64038","5.5 5.5 2 2 2 2 4 2 2 2 2","6 6 6 6 3 3 4.5 3 3 -2 -2","E E D D J J K J J R R","N W W S S E E W S S E","64435 67504 69471 72357 74475 77260 79261 86366 92771 94522 98291","64645 67758 69654 72744 74971 77505 79645 86870 92832 94966 98606","210 254 183 387 496 245 384 504 61 444 315","6","5","1","4","3","3","316.636363636364","140.222874544257"
"3","1","3","36000","98598","2 2 2 3.5 2 -2.5 -2.5 -2.5 -2.5 2 2","-2 -5.75 -5.75 -7.75 -5.75 -5.75 -5.75 -2 -2 -2 -2","R U U W U T T Q Q R R","S S E W W W N N E E N","100359 102377 105546 107664 113535 120039 122774 125293 128478 130530 134099","100611 102852 105904 107880 114277 120179 123597 125803 128766 131631 134285","252 475 358 216 742 140 823 510 288 1101 186","6","5","3","2","3","3","462.818181818182","307.420824988099"
"3","1","4","36000","133158","2 2 -2.5 -2.5 -2.5 -2.5 -3.75 -3.75 -3.75 -0.5 -0.5 -3.75 -3.75 -5.25","-2 -2 -2 -2 -5.75 -5.75 -5.75 -5.75 -7.75 -7.75 -7.75 -7.75 -5.75 -5.75","R R Q Q T T X X V Y Y V X Z","N W W S S W W S E S W N N N","134099 135983 138001 140603 142638 145807 147708 149242 151244 154646 157114 161117 164836 167155","134285 136303 138139 140883 143110 146000 147901 149491 151390 155150 157853 161340 165392 167570","186 320 138 280 472 193 193 249 146 504 739 223 556 415","8","6","4","4","5","1","329.571428571429","180.9427084363"
"3","1","5","36000","167718","-5.25 -5.25 -5.25 -3.75 -2.5 -2.5 -2.5 -2.5 -2.5 -5.5 -5.5 -5.5","-2.25 -2.25 -5.75 -5.75 -5.75 -5.75 -2 3.75 3.75 3.75 3.75 0","P P Z X T T Q H H G G L","E S E E E N N N W W S E","171524 176077 178346 183132 184800 186218 188036 190904 194974 196825 198793 200644","171947 176660 179088 183398 185224 186239 188254 191174 195088 197008 198881 200840","423 583 742 266 424 21 218 270 114 183 88 196","8","4","3","2","2","5","294","212.387296315866"
"3","1","6","36000","202278","-5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -2.5 -2.5 -2.5 -2.5 -1 -1 -1 -1","0 3.75 6 6 3.75 3.75 3.75 3.75 6 6 6 6 3 6","L G A A G G H H B B C C I C","N N W S S E E N N E E S E N","205197 207415 210501 214220 216305 218289 220374 222309 224227 226045 228063 228997 231282 235318","205726 207821 210813 214610 216528 218646 220526 222521 224288 226354 228141 229465 231381 235717","529 406 312 390 223 357 152 212 61 309 78 468 99 399","8","6","5","3","1","5","285.357142857143","150.040305940082"
"3","1","7","36000","236838","-1 2 5.5 5.5 5.5 5.5 3.5 5.5 5.5 5.5 5.5 2","6 6 6 6 1.25 1.25 -0.5 1.25 1.25 -2 -2 -2","C D E E M M O M M S S R","E E E S S W E E S S W W","239654 241822 244190 245591 247659 251262 253180 259000 265021 267023 270275 272360","240041 242567 244329 245946 247840 251485 253370 259210 265328 267690 270665 272451","387 745 139 355 181 223 190 210 307 667 390 91","7","5","0","4","3","5","323.75","203.286687396709"
"3","1","8","36000","271398","2 2 2 2 4 2 2 2 2 -2.5","-2 -2 3 3 4.5 3 3 -2 -2 -2","R R J J K J J R R Q","W N N E E W S S W W","272360 274795 277079 280665 282733 291189 297393 299711 303264 305549","272451 275304 277400 281023 284481 291496 298022 299940 303799 306010","91 509 321 358 1748 307 629 229 535 461","6","4","2","2","4","2","518.8","459.90501434777"
"3","1","9","36000","305958","-2.5 -2.5 -2.5 -5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -2.5","-2 3.75 3.75 3.75 3.75 0 0 3.75 6 6 3.75 3.75 3.75","Q H H G G L L G A A G G H","N N W W S E N N W S S E E","308467 310419 314338 316823 318875 321410 326263 328164 331066 334802 336737 338671 340906","308661 310545 315104 317074 319648 321897 326477 328404 331407 335038 336910 339172 340987","194 126 766 251 773 487 214 240 341 236 173 501 81","7","6","4","3","3","3","337.153846153846","227.867961092181"
"3","1","10","36000","340518","-2.5 -2.5 -2.5 -2.5 -1 2 5.5 8.5 8.5 8.5 8.5 8.5 8.5 5.5 5.5 5.5","3.75 3.75 6 6 6 6 6 6 6 1.5 1.5 6 6 6 6 1.25","H H B B C D E F F N N F F E E M","E N N E E E E E S S N N W W S S","340906 342774 344809 346994 349162 350529 352914 354766 356634 358702 362438 366273 369793 371877 373962 375980","340987 343119 345228 347453 349666 351288 353503 354884 356970 358974 363116 366296 370152 372211 374188 376346","81 345 419 459 504 759 589 118 336 272 678 23 359 334 226 366","10","6","4","4","2","6","366.75","203.837026404266"
"3","1","11","36000","375078","5.5 5.5 3.5 5.5 5.5 5.5 5.5 2 2 2 2 3.5","1.25 1.25 -0.5 1.25 1.25 -2 -2 -2 -2 -5.75 -5.75 -7.75","M M O M M S S R R U U W","S W E E S S W W S S E W","375980 379766 381784 387471 393375 395310 397945 400230 402782 404866 408102 409870","376346 380065 381838 387576 393614 395342 398546 400461 403168 405408 408104 409952","366 299 54 105 239 32 601 231 386 542 2 82","7","5","0","5","4","3","244.916666666667","199.927922618188"
"3","1","12","36000","409638","3.5 2 -2.5 -2.5 -2.5 -3.75 -3.75 -3.75 -0.5 -0.5 -3.75","-7.75 -5.75 -5.75 -5.75 -5.75 -5.75 -5.75 -7.75 -7.75 -7.75 -7.75","W U T T T X X V Y Y V","W W W N W W S E S W N","409870 415991 422111 424863 426915 429133 430834 432952 436321 438689 442175","409952 416347 422269 425221 427425 429514 431177 433058 436709 438919 442304","82 356 158 358 510 381 343 106 388 230 129","7","4","2","2","6","1","276.454545454545","141.464033334529"
"3","1","13","36000","444198","-3.75 -5.25 -5.25 -5.25 -5.25 -3.75 -2.5 -2.5 -2.5 -2.5 -2.5 -2.5 -2.5","-5.75 -5.75 -2.25 -2.25 -5.75 -5.75 -5.75 -5.75 -2 -2 -2 3.75 3.75","X Z P P Z X T T Q Q Q H H","N N E S E E E N N E N N W","445794 447662 451998 456435 458686 463039 464657 465941 467759 470494 472863 475548 479367","445910 448018 452301 457001 458995 463590 464954 465973 467829 471111 473828 475579 480337","116 356 303 566 309 551 297 32 70 617 965 31 970","8","5","6","1","1","5","398.692307692308","320.536629372106"
"3","1","14","28778","478758","-2.5 -5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -2.5 -2.5","3.75 3.75 3.75 0 0 3.75 6 6 3.75 3.75 3.75 3.75","H G G L L G A A G G H H","W W S E N N W S S E E N","479367 482069 484054 486388 491008 492893 495878 499497 501349 503450 505568 507536","480337 482270 484635 486642 491200 493186 496104 499658 501686 503847 505732 507937","970 201 581 254 192 293 226 161 337 397 164 401","6","6","3","3","3","3","348.083333333333","231.20610967601"
"3","2","1","36000","56180","2 2 2 2 2 2 -2.5 -2.5 -2.5 -3.75 -3.75 -3.75 -3.75 -3.75 -5.25","6 6 3 -2 -5.75 -5.75 -5.75 -5.75 -5.75 -5.75 -5.75 -7.75 -7.75 -5.75 -5.75","D D J R U U T T T X X V V X Z","W S S S S W W N W W S E N N N","56180 59332 61267 63985 67771 70556 72291 74943 76644 78612 80246 82081 85683 87518 89302","57168 59539 61694 64453 67866 70592 72349 74952 76915 78926 80309 82416 85809 87540 89575","988 207 427 468 95 36 58 9 271 314 63 335 126 22 273","9","6","4","5","5","1","246.133333333333","254.18043834665"
"3","2","2","36000","90740","-5.25 -5.25 -5.25 -3.75 -2.5 -2.5 -2.5 -2.5 -2.5 -5.5 -5.5 -5.5","-2.25 -2.25 -5.75 -5.75 -5.75 -5.75 -2 3.75 3.75 3.75 3.75 0","P P Z X T T Q H H G G L","E S E E E N N N W W S E","93539 98325 100560 105046 106614 107682 109499 112218 116187 118005 120357 122608","93851 98854 101005 105549 106685 107706 109559 112380 116285 118562 120844 122807","312 529 445 503 71 24 60 162 98 557 487 199","8","4","3","2","2","5","287.25","206.739240678599"
"3","2","3","36000","125300","-5.5 -5.5 -5.5 -5.5 -5.5 -5.5 -2.5 -2.5 -2.5 -2.5 -1 -1 -1 -1 -1","0 3.75 6 6 3.75 3.75 3.75 3.75 6 6 6 6 3 6 6","L G A A G G H H B B C C I C C","N N W S S E E N N E E S E N E","127161 129146 132015 135584 137535 139503 141288 143122 145140 147108 149243 150477 152579 156598 160901","127459 129352 132179 135839 137738 139565 141336 143447 145353 147545 149625 150748 152665 156983 161323","298 206 164 255 203 62 48 325 213 437 382 271 86 385 422","8","7","5","3","1","6","250.466666666667","126.645662418907"
"3","2","4","36000","159860","-1 2 2 2 2 4 2 2 2 2 5.5 5.5 5.5","6 6 6 3 3 4.5 3 3 6 6 6 6 1.25","C D D J J K J J D D E E M","E E S S E E W N N E E S S","160901 163103 164754 166572 169440 171492 178280 184434 186602 189637 191639 193006 195074","161323 163111 164874 167155 169728 171584 178549 184898 187187 189876 191735 193375 195353","422 8 120 583 288 92 269 464 585 239 96 369 279","7","6","2","4","1","6","293.384615384615","185.987696036386"
"3","2","5","36000","194420","5.5 5.5 3.5 5.5 5.5 5.5 5.5 8.5 8.5 8.5 8.5","1.25 1.25 -0.5 1.25 1.25 6 6 6 6 1.5 1.5","M M O M M E E F F N N","S W E E N N E E S S N","195074 198793 200745 206665 212686 214471 217606 219608 221442 223310 227096","195353 199042 201034 206865 212773 214741 217851 219676 221585 223633 227610","279 249 289 200 87 270 245 68 143 323 514","6","5","3","3","1","4","242.454545454545","122.812347617301"
"3","2","6","36000","228980","8.5 8.5 5.5 5.5 5.5 5.5 5.5 2 -2.5 -2.5 -2.5 -2.5 -2.5 -2.5","6 6 6 6 1.25 -2 -2 -2 -2 -2 -2 -2 -5.75 -5.75","F F E E M S S R Q Q Q Q T T","N W W S S S W W W N E S S E","230782 234584 236319 238237 240622 244091 246926 249028 251596 254098 256032 259435 261469 264505","231081 234592 236476 238813 240661 244320 247319 249266 251632 254281 257681 259706 261803 264507","299 8 157 576 39 229 393 238 36 183 1649 271 334 2","7","7","2","5","5","2","315.285714285714","416.788163971068"
"3","2","7","36000","263540","-2.5 2 3.5 2 2 2 2 5.5 5.5 5.5 5.5 3.5","-5.75 -5.75 -7.75 -5.75 -5.75 -2 -2 -2 -2 1.25 1.25 -0.5","T U W U U R R S S M M O","E E W W N N E E N N W E","264505 266256 268808 274795 281099 282984 286086 287804 290106 292240 294775 296910","264507 266274 269118 275323 281286 283392 286094 287884 290483 292423 295225 297470","2 18 310 528 187 408 8 80 377 183 450 560","7","5","4","0","3","5","259.25","206.331650504715"
"3","2","8","36000","298100","5.5 5.5 5.5 5.5 8.5 8.5 8.5 8.5 8.5 8.5 5.5","1.25 1.25 6 6 6 6 1.5 1.5 6 6 6","M M E E F F N N F F E","E N N E E S S N N W W","303098 308935 310836 313905 316107 318091 320309 323995 328031 331751 334035","303124 309141 311046 314340 316327 318583 320531 324877 328240 332305 334142","26 206 210 435 220 492 222 882 209 554 107","6","5","4","2","2","3","323.909090909091","245.370517603666"
"3","2","9","36000","332660","5.5 2 2 2 2 4 2 2 2 2 -1 -1 -1","6 6 6 3 3 4.5 3 3 6 6 6 6 3","E D D J J K J J D D C C I","W W S S E E W N N W W S E","334035 335903 338238 340423 343025 345026 351814 357985 360053 362672 364890 366758 368642","334142 336117 338701 340721 343271 345125 352083 358339 360211 363068 364971 366867 368729","107 214 463 298 246 99 269 354 158 396 81 109 87","8","5","2","3","5","3","221.615384615385","128.364415150473"
