"sub_id","propcorrect","patheff","patheff_acc_only","patheff_acc_only_inv"
44,0.0208333333333333,1.47975739338914,1,1
61,0.0416666666666667,1.2436939445963,1,1
96,0.0416666666666667,1.46955926529226,1,1
73,0.0625,1.43034560186184,1.04705882352941,0.955056179775282
76,0.0625,1.32180166415688,1.19855758395312,0.834336216622792
92,0.1,1.53463480354337,1.16260282021152,0.860138976626655
21,0.125,1.24321887201954,1.04444444444444,0.957446808510642
109,0.125,1.57040391144004,1.17117117117117,0.853846153846155
8,0.145833333333333,1.47981853411147,1.16300675675676,0.85984023238925
19,0.145833333333333,1.63231044086891,1.05544830544831,0.947464688547908
74,0.145833333333333,1.75304490695448,1.14057613851764,0.876749886508812
58,0.166666666666667,1.29760297566996,1.15811003298963,0.863475811031985
28,0.1875,1.43618962443938,1.07544757033248,0.929845422116529
32,0.208333333333333,1.43544009310191,1.21363684686961,0.823969709373398
54,0.208333333333333,1.27970794334123,1.10875641732785,0.901911352549411
55,0.208333333333333,1.28931008696821,1.17345606760544,0.852183586251
86,0.208333333333333,1.58824782529588,1.11352112676056,0.89805211231976
94,0.208333333333333,1.38394682905296,1.07625055748818,0.929151667371826
6,0.229166666666667,1.50378884271554,1.11462914509455,0.897159386510725
60,0.229166666666667,1.59026851052041,1.32030723905724,0.757399467652731
67,0.229166666666667,1.63230255957357,1.20183095965659,0.832063770670161
37,0.25,1.54543153424781,1.09184558583035,0.91588042574674
101,0.25,1.32035119639552,1.08816964285714,0.918974358974361
26,0.270833333333333,1.33294942100305,1.20270617088568,0.831458276516195
85,0.270833333333333,1.29684571758701,1.2389553014553,0.807131620346094
27,0.3125,1.31093516150878,1.08557075737836,0.921174408211757
36,0.3125,1.5534102217507,1.24554841155681,0.80285919898537
41,0.3125,1.64524079803546,1.1440116447917,0.874116976477174
95,0.3125,1.41046265281557,1.03823818457965,0.963170123053092
14,0.333333333333333,1.41699981810575,1.19031083050024,0.840116694208134
50,0.333333333333333,1.47920703204465,1.14342195185892,0.874567781713696
39,0.354166666666667,1.36193380868013,1.12216642382868,0.891133417259211
29,0.375,1.31225548920048,1.24475239157336,0.803372627977847
35,0.375,1.76491431558296,1.19380026744313,0.837661062132102
64,0.375,1.62083165883241,1.25036549667252,0.799766150506557
110,0.375,1.44927134104018,1.16435259585655,0.858846369698137
9,0.416666666666667,1.30649534542182,1.1392995755003,0.877732267705683
65,0.416666666666667,1.31619860387884,1.1414649285614,0.876067214137109
111,0.416666666666667,1.43352748861894,1.21237204873107,0.82482930965511
71,0.4375,1.20074690357708,1.11524241999205,0.896666036077724
113,0.4375,1.47600327180534,1.27811535266646,0.782401993617991
91,0.479166666666667,1.24587047669478,1.18138016268981,0.846467573759799
102,0.520833333333333,1.30092746632069,1.12445885558269,0.889316665554476
20,0.583333333333333,1.40863794108952,1.0955588550818,0.912776155622725
10,0.604166666666667,1.27259992690015,1.21700615860933,0.82168852879323
22,0.604166666666667,1.36705709773435,1.09563650711184,0.912711463618584
81,0.604166666666667,1.36025685001451,1.21789609737125,0.821088106085926
87,0.625,1.54159870042219,1.20969081232718,0.826657514308321
89,0.625,1.25819706565894,1.22622333399279,0.815512127585952
53,0.645833333333333,1.26059727020339,1.16137934592105,0.861045104265165
88,0.645833333333333,1.29864037813372,1.19418253849673,0.837392917550802
25,0.6875,1.12808851451566,1.05556479468244,0.94736012894485
106,0.6875,1.21280022845621,1.09798829987591,0.910756517271646
38,0.708333333333333,1.27858285099018,1.19775769370995,0.834893405612438
43,0.708333333333333,1.23645854928344,1.14299775966068,0.874892353504585
69,0.708333333333333,1.17999149488634,1.20074532354114,0.832816068815393
18,0.729166666666667,1.42397302980567,1.2026469825481,0.831499196781134
46,0.770833333333333,1.23152753265699,1.14652676135127,0.872199440701605
5,0.791666666666667,1.42094997835275,1.13599215470251,0.880287769471328
45,0.791666666666667,1.33766485036143,1.25306543422342,0.798042921533259
12,0.8125,1.03430623441837,1.02084449405368,0.979581127022679
93,0.8125,1.18819291556094,1.13390951585519,0.881904584111197
52,0.833333333333333,1.22696549292185,1.10487114471083,0.905082918299693
108,0.833333333333333,1.23786765046197,1.07156009988139,0.933218771500254
24,0.854166666666667,1.26879610537581,1.19901361440599,0.834018886845931
112,0.854166666666667,1.02520562842254,1.01080984140525,0.989305761615635
70,0.875,1.18460784259342,1.06768989399542,0.936601540975426
78,0.875,1.1373455192259,1.0742058130154,0.930920302128047
83,0.875,1.12937146378103,1.12688448674542,0.88740240172098
2,0.916666666666667,1.08626939392782,1.0439018784607,0.957944439638871
7,0.916666666666667,1.07703142184986,1.04838163988092,0.953851118676196
13,0.916666666666667,1.05255645794603,1.02391090509405,0.976647474916918
57,0.916666666666667,1.10791830561256,1.03085135504054,0.970071965381152
59,0.916666666666667,1.09729522683389,1.03893321475153,0.962525777211925
68,0.916666666666667,1.06722062786525,1.04757401827724,0.954586485110163
72,0.916666666666667,1.21554342683095,1.0725781654286,0.932332982557408
107,0.916666666666667,1.20141532096909,1.06046228340472,0.94298497518403
75,0.925,1.0536556759836,1.02696078431373,0.97374701670644
62,0.9375,1.25472028998737,1.23048060292998,0.812690584165921
99,0.9375,1.06420798806002,1.05375004977329,0.948991651497569
100,0.9375,1.12525054097122,1.03649904986287,0.964786219661563
103,0.9375,1.06537158831849,1.02095558973608,0.979474533518645
11,0.958333333333333,1.13463150259145,1.00422494105359,0.995792833974869
84,0.958333333333333,1.04864165752244,1.04612358276041,0.955910005738802
104,0.958333333333333,1.08651385557058,1.0858117245789,0.920969977910139
15,0.979166666666667,1.02692369120388,1.02749653569758,0.973239291090249
17,0.979166666666667,1.04450530298856,1.02697518065573,0.973733366527411
31,0.979166666666667,1.03775721736424,1.03856056241454,0.962871147037501
34,0.979166666666667,1.02393671286695,1.02444600463008,0.976137342017447
47,0.979166666666667,1.02651110904396,1.02651110904396,0.974173578044712
49,0.979166666666667,1.01199276157052,1.01199276157052,0.988149360325554
56,0.979166666666667,1.04981544536873,1.04981544536873,0.952548378299737
66,0.979166666666667,1.02879139946036,1.02879139946036,0.972014346663996
79,0.979166666666667,1.03660898094885,1.02000701440626,0.980385414880793
3,1,1.06477160854872,1.06477160854872,0.93916854278543
33,1,1.0325684984412,1.0325684984412,0.968458752624774
80,1,1.0080224772836,1.0080224772836,0.992041370639652
82,1,1.02141244995666,1.02141244995666,0.979036431406756
98,1,1.0214202649956,1.0214202649956,0.979028940652854
