"Subject","n_trials","n_explores","n_corrects","n_selects","n_outoftimes","StartDate","StartTime","tm_accuracy","tm_select_made","tm_nodesturns_count","tm_nodes_count","tm_turns_count","tm_average_RT","tm_trial_duration","tm_path_dist_trav","tm_euc_dist_trav","tm_path_efficiencies","tm_path_efficiencies_acc_only","ts_accuracy","ts_select_made","ts_nodesturns_count","ts_nodes_count","ts_turns_count","ts_average_RT","ts_trial_duration","ts_path_dist_trav","ts_euc_dist_trav","ts_path_efficiencies","ts_path_efficiencies_acc_only","em_nodesturns_count","em_nodes_count","em_turns_count","em_average_RT","em_trial_duration","em_path_dist_trav","em_euc_dist_trav","em_path_efficiencies","em_path_efficiencies_acc_only","es_nodesturns_count","es_nodes_count","es_turns_count","es_average_RT","es_trial_duration","es_path_dist_trav","es_euc_dist_trav","es_path_efficiencies","es_path_efficiencies_acc_only","enodes_A","enodes_B","enodes_C","enodes_D","enodes_E","enodes_F","enodes_G","enodes_H","enodes_I","enodes_J","enodes_K","enodes_L","enodes_M","enodes_N","enodes_O","enodes_P","enodes_Q","enodes_R","enodes_S","enodes_T","enodes_U","enodes_V","enodes_W","enodes_X","enodes_Y","enodes_Z","lm_bwstair","lm_person","lm_philsbar","lm_starrynight","obj_chair","obj_chicken","obj_clock","obj_guitar","obj_lamp","obj_snowman","obj_spaceship","obj_trophy","obj_umbrella"
"12","48","2","39","46","2","2017-04-05","14:42:40","0.8125","0.958333333333333","12.1458333333333","7.0625","5.08333333333333","430.102145163864","29677.2291666667","19.859375","9.28677013535456","1.03430623441837","1.02084449405368","0.394442779605583","0.201940936523459","3.49461338277004","1.96139605079777","1.9875499012425","183.895018789557","8413.35704556466","6.69608218455691","3.89174172501414","0.0997036034481957","0.070141083730512","153","78","75","748.226015406164","481540.5","252.125","7.35621471129282","NaN","NaN","22.6274169979695","8.48528137423857","14.142135623731","367.063933290255","2064.04469428353","26.3397275991989","3.68574419116659",NA,NA,"6","10","15","18","22","10","18","15","3","13","3","8","20","2","5","6","19","25","11","21","17","8","4","17","4","6","25","28","26","34","3","3","4","3","3","3","4","5","4"
"13","48","2","44","45","3","2017-04-06","13:30:07","0.916666666666667","0.9375","11.9375","7.125","4.8125","412.576310728011","29266.3541666667","20.359375","9.01210222710895","1.05255645794603","1.02391090509405","0.279310193865464","0.244623027395041","3.73258366966687","2.27497954164287","1.68417225075488","191.387380013352","9893.28956003541","7.73443981006588","3.62478655427538","0.175833906945236","0.0786669519745145","159","88.5","70.5","551.639887032809","480462","298.75","10.4811156795855","NaN","NaN","1.4142135623731","2.12132034355964","0.707106781186548","53.1774721784656","622.253967444162","6.36396103067893","2.32753694327134",NA,NA,"8","8","17","9","13","8","20","16","4","20","4","8","15","4","2","4","22","38","18","23","19","8","3","17","6","4","28","31","28","32","2","2","3","4","4","4","4","2","4"
"14","48","2","16","33","15","2017-04-28","14:47:18","0.333333333333333","0.6875","14.5416666666667","7.66666666666667","6.875","354.436719576022","36189.375","23.9322916666667","9.09025368626589","1.41699981810575","1.19031083050024","0.476393067340331","0.468417435218867","3.68411387384551","1.53447382808506","2.56510959493791","100.042451563863","9410.17597372031","6.24004304389932","3.20261635106067","0.868797946724443","0.377048846597159","175.5","89.5","86","363.770395428271","480625.5","298.5","8.36606229914324","NaN","NaN","2.12132034355964","3.53553390593274","1.4142135623731","34.4747533088992","433.456456867354","12.0208152801713","0.517690268121854",NA,NA,"12","16","20","19","22","16","32","33","3","21","5","10","16","4","3","4","24","24","13","14","13","6","3","10","4","4","29","28","26","36","2","5","3","6","5","3","5","3","3"
"15","48","2","47","47","1","2017-05-15","12:48:22","0.979166666666667","0.979166666666667","12.4583333333333","7.3125","5.14583333333333","323.262722318191","29346.8541666667","20.5208333333333","9.30694469320572","1.02692369120388","1.02749653569758","0.144337567297406","0.144337567297406","2.73634585761418","1.5999501322016","1.47301374859371","226.665544909956","6627.52265577027","5.33151841903245","3.18290802042647","0.100130583396895","0.101133572581192","165","82","83","532.330357142857","481485.5","264.875","6.46438993767145","NaN","NaN","5.65685424949238","2.82842712474619","2.82842712474619","164.8190145505","217.08178182427","17.5008928343671","3.83872706342403",NA,NA,"6","13","21","11","17","11","20","18","3","15","3","4","19","4","4","8","14","41","8","22","24","10","4","16","6","8","27","24","34","36","4","3","4","3","3","3","2","4","5"
"17","48","2","47","46","2","2017-05-24","15:14:24","0.979166666666667","0.958333333333333","12.5416666666667","7.39583333333333","5.14583333333333","254.829139188967","28919.7291666667","20.671875","9.37604891885439","1.04450530298856","1.02697518065573","0.144337567297406","0.201940936523459","2.83562693982195","1.65978187920125","1.4290241177384","91.3112197202463","6676.5730212488","5.60066396377308","3.2168718128019","0.160965235200971","0.106778969182207","161","81.5","79.5","629.273824899221","482597.5","268.125","10.657177065224","NaN","NaN","9.89949493661167","2.12132034355964","7.77817459305202","84.5117829856811","621.546860662975","5.12652416360247","2.72243530702287",NA,NA,"6","14","14","14","23","8","22","16","2","19","4","6","20","4","3","4","15","32","15","24","19","8","4","20","2","4","33","30","26","41","2","2","4","3","4","2","3","3","4"
"18","48","2","35","36","12","2017-05-25","15:47:37","0.729166666666667","0.75","14.9166666666667","8.125","6.79166666666667","278.408931705925","36187.1041666667","25.9010416666667","9.68015804471815","1.42397302980567","1.2026469825481","0.449092860289629","0.437594974493684","3.88578058826561","1.95290291290531","2.40529852469663","127.031143078617","9724.6088916368","8.19943232066743","3.72441750694947","0.59626204487355","0.3625060242662","176","97","79","338.482026143791","481071","310.375","11.3860489280267","NaN","NaN","7.07106781186548","5.65685424949238","1.4142135623731","69.6795962697485","537.401153701776","22.8041936932662","1.23623606854059",NA,NA,"8","17","22","13","23","18","24","27","5","12","2","10","21","6","5","6","13","25","12","16","20","10","5","22","2","8","30","21","23","39","3","5","5","4","2","5","5","5","5"
"19","48","2","7","39","9","2017-05-25","13:37:04","0.145833333333333","0.8125","13.5208333333333","7.3125","6.20833333333333","331.321943925903","32972.7708333333","22.28125","8.25279246140605","1.63231044086891","1.05544830544831","0.356673957637416","0.394442779605583","3.67851486760699","1.77639666358136","2.1334053622592","93.2066288736394","9474.40376440893","7.28843900194729","3.39344015577881","2.40597007915631","0.135160455704939","175","93","82","403.024878580633","480731","306.875","8.4268592184551","NaN","NaN","4.24264068711928","4.24264068711928","0","84.0650369339272","735.391052434009","10.4298250225016","5.19986417367574",NA,NA,"4","10","11","20","30","17","11","14","2","19","4","4","22","4","4","4","15","43","20","23","18","14","3","24","6","4","34","32","37","42","2","5","3","2","4","2","2","4","7"
"20","48","2","28","32","16","2017-06-09","13:46:06","0.583333333333333","0.666666666666667","14.0208333333333","7.8125","6.20833333333333","545.587882195419","37430.5","24.1979166666667","9.07077304133026","1.40863794108952","1.0955588550818","0.498223795452014","0.476393067340331","3.47323862192374","2.00696924040078","2.1334053622592","347.186265995845","10074.6811300577","7.02426613364785","3.62023470723916","0.79242552167013","0.170854677698696","148","81","67","852.682361111111","482676.5","264.5","12.0664381520406","NaN","NaN","4.24264068711928","0","4.24264068711928","12.165575751764","1225.41605179629","4.24264068711928","4.08376549840473",NA,NA,"6","11","14","12","17","11","19","20","3","6","1","8","15","4","3","6","15","36","10","22","14","8","4","19","6","6","26","26","29","25","3","3","4","3","1","3","4","3","4"
"21","48","2","6","28","20","2017-06-02","12:31:17","0.125","0.583333333333333","14.5208333333333","7.10416666666667","7.41666666666667","454.968002095406","36901.875","21.8802083333333","8.538173453219","1.24321887201954","1.04444444444444","0.334218682391596","0.498223795452014","4.49581168367131","2.12622513702885","2.94512459248301","212.141852159894","11513.2686369878","8.19314541983525","3.51847106534903","0.312778824564193","0.108866210790365","161.5","79.5","82","576.757582238121","481079.5","257.25","12.1987179645888","NaN","NaN","9.19238815542512","0.707106781186548","8.48528137423857","124.362013342769","415.071680556503","2.12132034355964","0.0869484953138645",NA,NA,"6","9","19","17","18","8","14","12","4","15","4","4","18","4","4","8","20","38","13","30","18","6","4","18","4","8","34","29","25","39","4","2","4","3","4","4","2","4","3"
"22","48","2","29","34","14","2017-06-05","14:17:42","0.604166666666667","0.708333333333333","14.2916666666667","7.54166666666667","6.75","463.36543691096","36281.4375","23.09375","8.98009547773045","1.36705709773435","1.09563650711184","0.49420399497827","0.459339643185104","3.99445537700263","1.94562611847904","2.50531350227488","157.966773051487","10444.1272735758","7.99012438989265","3.26873809381685","0.827566429924139","0.172814182764597","159","83.5","75.5","669.159991941982","483065.5","278.25","8.9436180469692","NaN","NaN","16.9705627484771","7.77817459305202","9.19238815542512","304.972647659008","546.593541857201","22.6274169979695","4.51645795506332",NA,NA,"6","18","16","11","23","15","17","18","3","8","2","6","21","6","4","4","14","39","18","15","20","6","5","15","4","4","35","29","16","46","2","4","5","3","2","3","3","4","3"
"23","18","2","2","15","2","2017-06-06","15:08:47","0.111111111111111","0.882352941176471","8.88888888888889","4.88888888888889","4","1077.10693277311","24369.7647058824","13.9444444444444","6.90899389028458","1.12067131937521","1","0.323380833381777","0.332105582077536","5.46527959447196","3.12276063554799","2.54373509534584","1291.08575376443","15687.02837749","11.3106390427577","3.85612165441625","0.32823742145894","0","161","92.5","68.5","612.647605083088","482272","306","8.1661147660808","NaN","NaN","7.07106781186548","2.12132034355964","4.94974746830583","122.503934290504","405.879292401078","21.5667568261897","6.24532939518756",NA,NA,"12","13","28","25","23","17","20","19","5","15","2","4","15","4","3","4","14","22","10","18","20","4","5","12","2","6","23","19","25","40","2","5","5","6","2","5","2","3","2"
"24","48","2","41","43","5","2017-06-06","13:03:11","0.854166666666667","0.895833333333333","14.1041666666667","7.66666666666667","6.4375","410.125402589559","34455.3125","23.3333333333333","9.32301317993068","1.26879610537581","1.19901361440599","0.356673957637416","0.308709278188584","4.1010615301113","1.98219020635871","2.712510417668","177.101133043603","9554.73815880083","7.11855033453078","3.8501752152676","0.464842565246047","0.415540610968648","168","93","75","416.136262553802","480785.5","308.375","11.0411147660808","NaN","NaN","4.24264068711928","4.24264068711928","8.48528137423857","70.5955830478856","528.208765546351","15.3795724908074","2.17946540336491",NA,NA,"8","13","20","21","12","11","24","23","4","26","5","10","12","4","2","6","17","30","10","21","15","8","4","18","6","6","25","22","34","36","3","3","4","4","5","4","5","2","4"
