white_matter	global_signal	std_dvars	framewise_displacement	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
4456.20261493577	6240.65244216401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4454.62107831339	6199.68220091195	1.130214	0.1539357	-0.0087136429	0.0128807892	-0.0685337539	0.20457390379999998	-0.0139734	-0.027408999999999996	0.0518418	0.000687381	-0.00041526599999999996	0.00011158299999999999
4453.82997605007	6175.3148195125095	1.065338	0.107875845	-0.0409052482	-0.0340395694	-0.071567104	0.2025038191	0.013894	-0.0384574	0.0841232	0.000630549	9.674790000000001e-05	0.00027631
4448.08818508918	6161.09538727495	1.065091	0.168709705	0.0212618	-0.0750748875	-0.0727140759	0.14009226	-0.00692866	0.046577600000000004	0.0686063	0.000361186	-0.00041526599999999996	0.00044163599999999997
4446.51265960535	6163.17771006708	1.0563049999999998	0.03615064	0.07047062059999999	0.0060304473	-0.0524015587	0.13158781619999999	-0.0130785	0.0413218	0.0664536	0.00023124599999999997	-0.00041526599999999996	0.00011973
4442.710887710829	6171.98007946145	1.11619	0.05621911	-0.0222168756	0.058919459	-0.0439970816	0.1440980664	-0.0096921	0.0221312	0.0812788	-1.71813e-05	-0.000321145	8.59401e-05
4453.87205401986	6173.4518034886405	1.0501049999999998	0.05500075	-0.0329647913	-0.014456321999999999	-0.0634713495	0.1129157192	-0.00696205	-0.00429854	0.08608439999999999	0.00021946200000000002	-0.00031137	0.000260229
4448.42693399755	6172.475791990059	1.049825	0.04873719	0.019994501799999998	-0.0694601664	-0.0520657287	0.1350198176	-0.0110414	-0.021422	0.0860459	0.000534341	-0.00035826699999999995	7.20874e-05
4448.646188757921	6172.930270825501	1.0781399999999999	0.131114005	0.0655217213	0.013142153	-0.0625799065	0.1038418116	-0.00702403	0.0429884	0.0634958	-9.37866e-05	-0.00021066799999999998	4.50913e-05
4453.76518933466	6179.54719062208	1.103912	0.05306342	-0.0266324647	0.0623842363	-0.0613836571	0.1156266383	-0.0110635	0.0231039	0.0791964	-8.23303e-05	-0.00036206599999999997	0.000151014
4452.82921256061	6184.73806653109	1.0514350000000001	0.068573375	-0.0347129697	-0.027248944700000003	-0.0562076974	0.09755629789999999	-0.00969069	-0.0114445	0.09258279999999999	0.00021946200000000002	-0.00033025599999999996	9.9301e-05
4455.51054466196	6186.44561540148	1.090214	0.08239078	0.043849037300000004	-0.061997643	-0.0417134721	0.086422174	-0.00706501	-0.036977800000000005	0.0843418	0.0008031669999999999	-0.000229179	-0.000135733
4462.25127755517	6184.15310815087	1.1396879999999998	0.0546568195	0.0409571877	0.0440686533	-0.046323404900000004	0.1193919727	-0.00468262	-0.0178672	0.08462660000000001	0.00034904099999999997	-0.000171056	9.59859e-06
4462.56051723796	6178.02776426861	1.078457	0.08267042349999999	-0.0558056151	0.024146345	-0.0598495606	0.0976057238	-0.000249717	0.0462313	0.0869532	0.0002708	-0.000207433	0.000131229
4464.01642713666	6180.48366895686	1.060853	0.091217843	-0.0646229856	-0.0372788291	-0.0486697889	0.0431158192	-0.00373288	-0.00336278	0.109928	0.00034904099999999997	-0.000313552	0.000250185
